Timestamp,Temp_Ambiente,Temp_Objeto,IR_Value,Red_Value,Green_Value,Heart_Rate,Finger_Detected
1000,21.91,21.33,3695,2877,44,0.0,0
2052,21.93,21.51,734,1282,25,0.0,0
3113,21.91,21.49,3859,3728,36,0.0,0
4174,21.95,21.39,36320,31040,28,0.0,1
5235,21.93,21.43,36349,30965,42,0.0,1
6296,21.95,21.49,36443,30974,33,0.0,1
7357,21.95,21.51,36367,30872,52,0.0,1
8418,21.97,21.79,36223,30819,32,0.0,1
9479,21.95,21.45,36346,30826,48,0.0,1
10542,22.01,21.55,36072,30741,54,0.0,1
11603,21.97,21.49,36067,30728,23,0.0,1
12664,21.97,21.51,35980,30633,36,0.0,1
13725,22.01,21.51,34608,30097,41,0.0,1
14786,22.01,21.55,34607,30026,34,0.0,1
15849,22.01,21.51,35508,30293,41,0.0,1
16910,22.01,21.45,35601,30368,42,0.0,1
17971,22.03,21.45,34944,30097,46,0.0,1
19032,22.03,21.45,34981,30066,56,0.0,1
20095,22.03,22.75,35221,29951,51,0.0,1
21156,22.03,31.21,34399,29884,50,0.0,1
22217,22.07,31.85,34465,29870,49,0.0,1
23278,22.13,32.05,34696,29987,30,0.0,1
24341,22.19,32.17,34722,30011,56,0.0,1
25402,22.25,32.21,34747,29981,24,0.0,1
26463,22.35,32.17,34875,30013,23,0.0,1
27524,22.43,32.17,34141,29758,43,0.0,1
28587,22.49,31.91,34081,29774,44,0.0,1
29648,22.57,31.81,34259,29821,47,0.0,1
30709,22.65,31.71,34441,29851,48,0.0,1
31772,22.75,31.77,34127,29795,32,0.0,1
32833,22.85,31.81,34173,29806,47,0.0,1
33894,22.89,31.81,34622,29937,32,0.0,1
34955,23.01,31.81,34592,29851,54,0.0,1
36018,23.11,31.61,34251,29782,29,0.0,1
37079,23.19,31.77,34376,29810,33,0.0,1
38140,23.25,31.85,34584,29832,34,0.0,1
39203,23.33,31.67,34144,29694,49,0.0,1
40264,23.43,31.61,34192,29707,38,0.0,1
41325,23.51,31.75,34532,29806,27,0.0,1
42388,23.63,31.53,34775,29932,45,0.0,1
43449,23.67,31.71,34161,29681,25,0.0,1
44510,23.75,31.71,34604,29849,46,0.0,1
45573,23.83,31.71,34951,29993,49,0.0,1
46634,23.89,31.67,34564,29800,43,0.0,1
47695,24.05,31.63,34462,29791,36,0.0,1
48758,24.07,31.55,34706,29853,21,0.0,1
49819,24.19,31.63,34347,29647,58,0.0,1
50882,24.29,31.77,34355,29737,33,0.0,1
51943,24.31,31.57,34671,29827,48,0.0,1
53004,24.39,31.41,34874,29854,20,0.0,1
54067,24.45,31.47,34564,29801,44,0.0,1
55128,24.53,31.49,34701,29809,39,0.0,1
56189,24.61,31.53,34635,29745,40,0.0,1
57252,24.69,31.53,34307,29685,51,0.0,1
58313,24.79,31.49,34603,29764,35,0.0,1
59376,24.83,31.55,34732,29786,41,0.0,1
60437,24.91,31.49,34269,29613,26,0.0,1
61498,25.01,26.43,164,204,26,0.0,0
62561,25.03,21.51,419,380,46,0.0,0
63622,25.05,21.37,410,363,45,0.0,0
64685,25.09,21.57,411,374,50,0.0,0
65746,25.09,21.57,406,364,45,0.0,0
